City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ungsang-nodongjagu,42.3578,130.4622,20.98,97,24,0.07,KP,1692379105
83,vorkuta,67.5,64.0,15.16,97,95,4.8,RU,1692379105
84,antsiranana,-12.2787,49.2917,23.55,77,0,7.8,MG,1692379106
85,aasiaat,68.7098,-52.8699,4.38,76,10,4.35,GL,1692379106
86,mukalla,14.5425,49.1242,32.26,55,21,1.7,YE,1692379106
87,pekan,3.4836,103.3996,26.06,88,100,2.06,MY,1692379106
88,almeirim,-1.5233,-52.5817,36.08,36,45,1.88,BR,1692379071
89,la passe,45.5549,-0.8967,33.13,68,100,2.89,FR,1692379106
90,hermanus,-34.4187,19.2345,12.11,87,55,1.85,ZA,1692378883
91,hami,42.8,93.45,26.36,14,1,3.02,CN,1692379107
92,buala,-8.145,159.5921,25.76,85,100,1.96,SB,1692379107
93,port augusta,-32.5,137.7667,9.01,95,3,1.86,AU,1692379107
94,al ain city,24.1917,55.7606,34.79,49,18,6.17,AE,1692379107
95,ambon,-3.6954,128.1814,25.27,82,100,4.78,ID,1692379108
96,lazaro cardenas,17.9583,-102.2,29.69,62,99,1.09,MX,1692379108
97,talnakh,69.4865,88.3972,13.45,67,100,2.0,RU,1692379108
98,naze,28.3667,129.4833,24.51,88,68,2.17,JP,1692379108
99,aransas pass,27.9095,-97.15,37.05,74,1,4.02,US,1692379108
100,ust-nera,64.5667,143.2,13.63,88,100,3.07,RU,1692379108
101,toliara,-23.35,43.6667,21.16,83,42,3.01,MG,1692378938
102,geraldton,-28.7667,114.6,8.23,93,0,3.09,AU,1692379108
103,sotouboua,8.5667,0.9833,24.34,94,100,3.19,TG,1692379109
104,st. john's,47.5649,-52.7093,22.66,68,75,4.12,CA,1692378966
105,palmer,42.1584,-72.3287,26.7,76,75,3.6,US,1692379074
106,talcahuano,-36.7167,-73.1167,12.82,62,75,4.12,CL,1692379109
107,bilibino,68.0546,166.4372,2.68,90,17,1.3,RU,1692379109
108,amboasary,-25.0333,46.3833,21.77,68,1,2.38,MG,1692379108
109,sao felix do xingu,-6.6447,-51.995,39.07,19,55,1.41,BR,1692379110
110,mo i rana,66.3128,14.1428,20.26,74,0,2.06,NO,1692379110
111,touros,-5.1989,-35.4608,28.24,67,21,7.54,BR,1692379110
112,kill devil hills,36.0307,-75.676,31.01,45,0,4.63,US,1692379110
113,klyuchi,52.2667,79.1667,16.67,53,27,3.01,RU,1692379110
